name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Ricky Williams,mcguirebeverly@example.com,181-81-1272,Male 14-17,African-American or Black,WALLÂ·E,Juno,Coco, , 
Deanna May,nrose@example.org,242-08-3181,Male 14-17,Caucasian or White,Time Bandits,Step Brothers,28 Weeks Later,Doctor Strange,Iron Man
Michael Collins,angela36@example.com,294-11-8403,Male 14-17,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Cars,Toy Story,Avengers
Kristen Clay,rhondaturner@example.org,603-63-1795,Female 14-17,Caucasian or White,How to Train Your Dragon: The Hidden World,Avatar,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 1,The Fault in Our Stars
Paul Douglas,raguilar@example.org,592-33-9513,Female 14-17,Caucasian or White,The Hobbit: The Battle of the Five Armies,Twilight,The Hunger Games,Sing, 
Aaron Allen,patrick60@example.org,838-99-1407,Male 14-17,Asian or Pacific Islander,Jurassic Park,Avengers: Endgame,Titanic,Deadpool,Fast and Furious
Jonathan Skinner,christopher34@example.net,061-82-3841,Male 14-17,Caucasian or White,Jaws,Funny Girl,Oliver!,Forrest Gump,The Green Mile
Larry Lowery,tshaw@example.com,548-97-9848,Male 14-17,Caucasian or White,The Fast and the Furious: Tokyo Drift,Million Dollar Arm,Far from the Madding Crowd,Madeline,Paul Blart: Mall Cop
Elizabeth Lozano,anthony31@example.net,209-05-0802,Male 18-24,Caucasian or White,Deadpool,Deadpool 2,Bruce Almighty,Smokey and the Bandit,It
Joshua Powell,nbuchanan@example.com,797-72-1022,Female 14-17,African-American or Black,X-Men: Apocalypse,Batman Forever, , , 
Jonathan Smith,michael68@example.org,830-64-3371,Female 14-17,Asian or Pacific Islander,Apollo 13,??,Moon Child, , 
Colleen Oneill,xmartinez@example.com,745-82-7977,Female 14-17,Caucasian or White,Minions,Grown Ups,Grown Ups 2,Hotel for Dogs,God's not Dead
Joshua Middleton,ckirk@example.net,191-39-6834,Male 35-54,Caucasian or White,Spider-Man: Far from Home,Incredibles 2,Titanic,Harry Potter and the Chamber of Secrets,X-Men: Apocalypse
Allison Marsh,katherinewilliams@example.net,141-55-4556,Female 14-17,Caucasian or White,Mean Girls,Bring It On,Clueless,Pitch Perfect,Pitch Perfect 2
Samuel Jones,tiffany57@example.com,338-51-0206,Male 18-24,African-American or Black,Scooby-Doo,Friday,Next friday,Friday after next,Scooby-Doo 2: Monsters Unleashed
Theresa Harris,russellsmith@example.com,128-90-2921,Female 18-24,Other,Burn the stage,Beauty and the Beast,Cinderella, , 
Johnathan Roberts,yesenia59@example.com,529-39-0042,Female 14-17,Caucasian or White,Star Wars: Episode III - Revenge of the Sith,Guardians of the Galaxy,Captain Marvel,Avengers: Endgame, 
Jessica Franco,freynolds@example.com,635-11-0271,Female 14-17,Caucasian or White,Forrest Gump,Avengers: Endgame,Avengers: Age of Ultron,Avengers of Justice: Farce Wars,RoboCop 3
Tiffany Elliott,debra64@example.com,086-20-9433,Male 35-54,Caucasian or White,Emanuel in Bangkok, , , , 
Jennifer Anderson,zturner@example.net,773-16-8574,Male 35-54,Caucasian or White,Reign of Fire,Jumbo,The 13th Warrior,The Cave,VerÃ³nica
Lindsey Mendoza,cookdeborah@example.org,066-74-7156,Male 35-54,Caucasian or White,Avengers: Endgame,Aladdin,la monja,Iron Man,The Purge: Anarchy
Madison Harris,yjordan@example.net,895-90-6126,Male 35-54,Caucasian or White,300, , , , 
Antonio Miller,angela25@example.com,144-36-5332,Male 14-17,African-American or Black,Black Panther,Spider-Man,Avengers: Endgame, , 
Joseph Johnson,martinezkenneth@example.net,473-08-7014,Male 18-24,African-American or Black,Never Back Down,Bad Boys II,Friday the 13th, , 
Russell Warner,webernicole@example.net,049-40-6360,Male 14-17,Caucasian or White,The Wizard of Oz,Lethal Weapon 2,The Texas Chainsaw Massacre,Halloween,Real Steel
Sophia Elliott,lowesonya@example.org,203-15-4215,Male 25-34,Caucasian or White,Spider-Man: Far from Home,Terminator 3: Rise of the Machines,Day of the Dead: Bloodline,Life of Pi,A Beautiful Mind
Jason Clark,christine71@example.org,524-90-7580,Female 18-24,African-American or Black,Harry Potter and the Deathly Hallows: Part 2,The Chronicles of Narnia: Prince Caspian,Akeelah and the Bee, , 
Amy Brown,zaustin@example.net,674-44-4429,Female 14-17,Other,Batman, , , , 
Shannon Vaughn,cindy22@example.com,463-69-7476,Female 18-24,Caucasian or White,Pay It Forward,Swim Fan, , , 
Henry Clark,stephanie71@example.org,400-11-1395,Male 25-34,Caucasian or White,"South Park: Bigger, Longer & Uncut", , , , 
Hailey Martin,wellsstephen@example.net,052-38-8421,Female 18-24,Caucasian or White,Die Hard,The Longest Ride,Christopher Robin,Avengers,Burlesque
Stephanie Jordan,mezajared@example.org,481-09-6647,Female 14-17,African-American or Black,Lion king,IT,Shaft,American Beauty, 
Roger Jordan,flynnantonio@example.org,644-70-0955,Male 14-17,Caucasian or White,127 Hours,Bat*21,City for Conquest,Dodgeball: A True Underdog Story,In the Valley of Elah
Ashley Fleming,jessicafoster@example.com,646-63-2158,Female 14-17,Caucasian or White,Five Feet Apart,I Feel Pretty,Isn't It Romantic,Legally Blonde,Beauty and the Beast
Francis Phillips,lgardner@example.com,744-59-8979,Female 14-17,Caucasian or White,Friday,It,Child's Play,Fast and Furious,Next Friday
Michael Lynch,jpeck@example.com,846-68-4149,Male 18-24,Other,The Nightmare Before Christmas,The Simpsons Movie,"Blood In, Blood Out",Mi vida loca,Colors
Brett Fox,matthew44@example.net,849-98-5123,Male 14-17,Caucasian or White,Star Wars: Episode VI - Return of the Jedi,Spider-Man,Fantastic Four: Rise of the Silver Surfer,Harry Potter and the Half-Blood Prince, 
Amy Morgan,clarkjustin@example.com,681-81-0288,Male 14-17,African-American or Black,Twister,The Meg,Snakes on a Plane,Year One,2012
Catherine Mora,ycook@example.com,891-59-8545,Male 35-54,Caucasian or White,baby with cary grant and katerine hepburn,ben hur,We Are Marshall,Song of the South,Li'l Abner
Brian Brown,bryan49@example.net,482-30-0384,Female 18-24,American Indian or Alaska Native,Wreck-It Ralph,The Notebook,After,Poltergeist,Paper Towns
Chris Liu Jr.,tjackson@example.org,296-32-2766,Female 25-34,Caucasian or White,Superbad,PokÃ©mon Detective Pikachu,Bruce Almighty,Toy Story,Us
Brad Gordon,clarkekaren@example.com,351-11-6130,Male 14-17,Caucasian or White,Home Alone,Shooter,Jaws,The Conjuring,Bad Boys
Tamara Garcia,qwilkerson@example.org,890-78-2055,Male 14-17,Caucasian or White,star wars, , , , 
Jessica Woods,christinapittman@example.net,582-30-0410,Female 14-17,African-American or Black,Shaft, , , , 
Molly Price,matthew76@example.net,791-63-3512,Male 14-17,Caucasian or White,Full Metal Jacket,Toy Story 3,Star Wars: Episode V - The Empire Strikes Back,Patch Adams,Days of Glory
Robert Vaughan,brittany44@example.com,082-58-0233,Female 14-17,Caucasian or White,Twilight,Step Brothers, , , 
David Alvarado,kevinshelton@example.net,041-93-2134,Female 14-17,Caucasian or White,Titanic,Space Buddies,Forrest Gump,National Lampoon's Christmas Vacation,The Polar Express
Ashley Yu,maddenjohnny@example.com,517-59-0848,Male 14-17,Caucasian or White,Toy Story 4,Avengers: Age of Ultron,Rocky,High School Musical 3: Senior Year,Spider-Man
Taylor Campbell,williamsjulie@example.net,226-08-6481,Female 14-17,Caucasian or White,It,Maleficent,The Nightmare Before Christmas,Mama,Independence Day
Sarah Wright,avelasquez@example.com,644-86-8166,Female 14-17,Caucasian or White,V for Vendetta,Prince of Persia: The Sands of Time,The Dark Knight,Dragonlance: Dragons Of Autumn Twilight,3000 Miles to Graceland
Joseph Valdez,beasleyelizabeth@example.org,018-07-1907,Female 14-17,Caucasian or White,The 300 Spartans,Black Mirror: Bandersnatch,big mouth,flash,The SpongeBob Movie: Sponge Out of Water
Mary Perez,nwashington@example.com,746-05-8447,Female 18-24,Caucasian or White,John Wick,John Wick: Chapter 2,Jurassic Park,Back to the Future,A Nightmare on Elm Street
Helen Hunt MD,tyler45@example.net,483-67-0427,Female 14-17,Caucasian or White,Mamma Mia!,Mamma Mia! Here We Go Again,Finding Nemo,Finding Dory,The Curious Case of Benjamin Button
Mr. Travis Anderson,megan00@example.org,728-87-5784,Female 14-17,Caucasian or White,Mamma Mia! Here We Go Again,Frozen,Shrek, , 
Austin Thompson,michelle50@example.net,444-55-5483,Male 14-17,Asian or Pacific Islander,El comino,Iron Man,Adventures of Captain Marvel, , 
Michael Baker,samuel41@example.org,028-18-5526,Female 14-17,Caucasian or White,Mean girls,Goonies,Dirty Dancing,Alladin,The Lion King
Amber Armstrong,snunez@example.com,610-30-5864,Female 14-17,Caucasian or White,Frozen,Adventures in Babysitting,Moana,The Kissing Booth, 
Jason Yates,kellyhenson@example.org,321-24-6039,Female 14-17,Caucasian or White,Mean Girls,Clueless,The Princess Diaries,Sixteen Candles,Juno
William Thomas,eric63@example.org,716-90-3530,Male 14-17,Asian or Pacific Islander,Angels in the Outfield,Field of Dreams,Harry Potter and the Chamber of Secrets,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi
Jeffrey Preston,margaret31@example.org,685-92-1420,Female 14-17,Caucasian or White,Napoleon Dynamite,Coraline,Glory,Heathers,Madagascar
Tyler Montoya,jjuarez@example.net,803-65-5092,Male 14-17,Caucasian or White,Avengers: Endgame,Moana, , , 
Jacob Johnson,callahanerica@example.com,325-03-8470,Male 14-17,Caucasian or White,I don't have a favorite. Sorry, , , , 
Jenna Nelson,codyflores@example.net,654-30-1541,Male 14-17,Caucasian or White,Star Wars: Episode VI - Return of the Jedi,X-Men: Apocalypse,Men in Black II,AVATAR, 
Peter Martin,leelaura@example.com,899-44-2888,Female 35-54,Asian or Pacific Islander,Zoolander,Zombieland,Cinderella,Mulan, 
Jake Howard,kimberly98@example.org,626-37-5144,Male 14-17,Caucasian or White,None, , , , 
Ariel Grant,christian59@example.net,214-02-1102,Male 14-17,Asian or Pacific Islander,The Lion King,The Incredibles, , , 
Kara Wilson,davisdonald@example.net,211-80-4206,Male 35-54,Caucasian or White,Spaceballs,Star Wars: Episode IV - A New Hope,Blazing Saddles,The Terminator,Monty Python and the Holy Grail
Tina Smith,stephen54@example.org,367-71-6907,Female 35-54,Caucasian or White,The Avengers,Titanic,Pretty Woman,Pretty in Pink,The Breakfast Club
Steven Reed,david49@example.net,695-67-9138,Male 35-54,Asian or Pacific Islander,Black Panther,Central Intelligence,Jurassic World,Avengers: Infinity War,Captain America: Civil War
Regina Hughes,ninaaustin@example.net,665-78-6740,Male 35-54,Caucasian or White,Out Cold,Super Troopers,Dumb and Dumber,The Mist,Elf
Rachel Henderson,sandracarroll@example.net,113-81-8079,Female 35-54,Caucasian or White,Forrest Gump,The Shawshank Redemption,Cinema Paradiso,Memoirs of a Geisha,Forgetting Sarah Marshall
Sarah Russell,catherinehouston@example.com,490-53-0767,Male 35-54,Caucasian or White,Star Trek,Star Trek Beyond,Star Trek: First Contact,Star Trek Generations,Star Trek III: The Search for Spock
Dawn Jones,ashley80@example.org,419-62-5839,Male 14-17,Caucasian or White,The Shawshank Redemption,The Green Mile,Captain Marvel,It,Straight Outta Compton
Cristian Stokes,samantha48@example.com,047-18-5744,Female 25-34,Caucasian or White,Sunset Boulevard,Clueless,Mean Girls,The Heiress,Crossroads
Michael Smith,lorishelton@example.com,164-32-0093,Male 35-54,Caucasian or White,The Princess Bride,Blow, , , 
Robert Taylor,hgarcia@example.net,662-59-1083,Female 14-17,Caucasian or White,The Lion King,Vampire Academy,Say Anything...,Gone Girl,We Bought a Zoo
Matthew Horne,pamelacampos@example.net,636-21-0722,Female 25-34,Asian or Pacific Islander,How to Lose a Guy in 10 Days,The Guardian,Sweet Home Alabama,The Hangover,Wedding Crashers
Gregory Jacobs,amandabaker@example.com,417-82-2875,Female 25-34,Caucasian or White,Five Feet Apart,Garden State,Me Before You,The Perks of Being a Wallflower,If I Stay
Shelly Matthews,henrykim@example.org,277-68-6088,Female 35-54,Asian or Pacific Islander,50 First Dates,The Time Traveler's Wife,The Greatest Showman,The Conjuring,Ace Ventura: Pet Detective
Danielle Powers,goodmichael@example.net,796-62-3652,Female 14-17,Caucasian or White,The Lion King,Maleficent,The Outsiders,My Girl,Harry Potter and the Deathly Hallows: Part 2
Travis Horne,ryanadams@example.com,090-43-0559,Female 25-34,Caucasian or White,Twilight,LegAlly blonde,Sweet Home Alabama,Dirty Dancing,The Twilight Saga: Eclipse
Alexander West,keith91@example.net,611-30-2616,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Raiders of the Lost Ark,Independence Day,Schindler's List,The Best Years of Our Lives
Tim Green,xmcguire@example.com,099-29-7738,Female 35-54,Asian or Pacific Islander,The Proposal,Bridget Jones's Diary,Bridget Jones's Baby,Pretty in Pink,Blended
Renee Rodriguez,ybrown@example.org,440-99-2371,Male 25-34,Other,Gladiator,Braveheart,The Last of the Mohicans,Anchorman: The Legend of Ron Burgundy,The Lion King
Collin Webb,jason95@example.com,773-05-3155,Female 35-54,Caucasian or White,Pitch Perfect,How the Grinch Stole Christmas,The Heat,The Proposal,Beauty and the Beast
Eric Ortiz,stevengarcia@example.org,462-56-0606,Female 35-54,Caucasian or White,Caddyshack,Goodfellas,Heathers,Aladdin,Avengers: Infinity War
James Herrera,gvance@example.com,408-39-0579,Female 35-54,Caucasian or White,My Best Friend's Wedding,Sweet Home Alabama,Jumanji: Welcome to the Jungle,The Wedding Date,The Wedding Singer
Mr. Andrew Lutz DVM,lperry@example.org,784-93-4505,Male 25-34,Caucasian or White,joker,jexi, , , 
Nichole Gaines,shepherdbeth@example.com,183-51-6252,Female 25-34,Caucasian or White,Catch Me If You Can,Harry Potter and the Goblet of Fire,21, , 
Brandon Nguyen,rmartin@example.com,434-08-5147,Female 35-54,African-American or Black,New Jack City,The temptations,The Five Heartbeats,Underworld,Bad Boys
Melissa Hamilton,bethanyhenson@example.com,312-45-8710,Male 35-54,Caucasian or White,Forrest Gump,Rocky,"O Brother, Where Art Thou?",Days of Thunder,Life
Michael Wolfe,bburke@example.com,377-28-3559,Female 35-54,Caucasian or White,The Shawshank Redemption,Love Actually,Best In Show,Manhattan,Mystic River
Benjamin Mcneil,fbaird@example.org,726-58-9681,Female 35-54,Asian or Pacific Islander,"Lust, Caution",Titanic,How to Lose a Guy in 10 Days,Dirty Dancing,Shrek
Elizabeth Dougherty,uherring@example.net,476-62-6952,Female 35-54,Asian or Pacific Islander,The Departed,The Godfather,Home Alone,The Lion King, 
Ann Taylor,shannonfischer@example.com,380-10-9870,Female 14-17,Caucasian or White,Avengers: Endgame,Black Angel,Avengers: Infinity War,Amateur,Black Bart
Tammy Mann,obennett@example.net,390-28-4993,Female 25-34,Caucasian or White,Tammy,Identity Thief,A Bad Moms Christmas,Why Him?,CHIPS
Nancy Sanchez,edward75@example.com,142-39-8647,Male 35-54,Caucasian or White,Iron Man,Spider-Man 2,Avengers: Infinity War,Men in Black II,Ip Man 2
Matthew Graham Jr.,sharmon@example.net,579-69-4999,Female 35-54,Caucasian or White,The Godfather,Harry Potter and the Chamber of Secrets,Twister,Purple Rain,Forrest Gump
Tammie Cooper,imills@example.net,236-68-1260,Female 35-54,African-American or Black,Grease,The Help,The color purple,Selma,Selena
Roger Jones,robert60@example.com,810-99-9836,Female 25-34,Caucasian or White,"I Love You, Man",Avatar,Moana,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1
Brian Gregory,angelicahughes@example.org,178-75-5937,Female 35-54,Caucasian or White,The Notebook,Forrest Gump,The Green Mile,Bohemian Rhapsody,Sweet Home Alabama
Leonard Guerra,tiffany73@example.com,425-39-1295,Female 25-34,Caucasian or White,Love Actually,Wedding Crashers,Pitch Perfect,The Italian Job,Remember the Titans
Dana Parrish DDS,gomezjason@example.com,765-32-2255,Female 35-54,Caucasian or White,10 Things I Hate About You,Save the Last Dance,Mrs. Doubtfire,A Christmas Story,Elf
Brianna Brown,hbrooks@example.com,820-29-0818,Female 14-17,Asian or Pacific Islander,Avatar,Your Name., , , 
Amber Davis,tracy68@example.net,889-24-0908,Male 35-54,Caucasian or White,Tombstone,3:10 to Yuma,Unforgiven, , 
John Mccoy,daniel00@example.com,160-70-6874,Female 35-54,Caucasian or White,Frozen,The Shawshank Redemption,Meet Me in St. Louis,The Bourne Identity,Elf
Derrick Jimenez,christina77@example.net,275-79-0639,Female 25-34,Asian or Pacific Islander,The Pursuit of Happyness,Avengers: Endgame, , , 
John Williams,anna03@example.net,845-71-1642,Male 35-54,Caucasian or White,Dumb and Dumber,Ace Ventura: Pet Detective,Ace Ventura: When Nature Calls,The Mask,Willy Wonka & the Chocolate Factory
Breanna Monroe,daniel97@example.net,200-01-0702,Female 35-54,Caucasian or White,Empire Records,Reality Bites,Olympus Has Fallen,White House Down,Avengers
Alexis Lee,pwillis@example.net,862-42-4027,Female 25-34,Caucasian or White,Pulp Fiction,Ocean's 11,Sixteen Candles,The Lion King,Book Club
Cory York,cooleypaul@example.net,686-89-0472,Male 14-17,Caucasian or White,The Shawshank Redemption,Rocky IV, , , 
Gary Kelly,williamsonlarry@example.net,130-62-8762,Female 25-34,Caucasian or White,Dirty Dancing,Pretty Woman,The Wizard of Oz,Goodfellas, 
Carrie Gilbert,sharonriley@example.net,895-29-2033,Male 14-17,Caucasian or White,Jurassic Park,Ghost Rider,I Spit on Your Grave,The SpongeBob SquarePants Movie, 
Derek Lara,robert16@example.org,873-68-1714,Female 35-54,Caucasian or White,The Professional,The Fifth Element,Raiders of the Lost Ark,Brave,Stand by Me
Mary Joyce,qgeorge@example.com,235-61-0463,Female 14-17,Caucasian or White,Saving Private Ryan,Forrest Gump,Princess and the Frog,It,Scary Movie
Eric Jackson,njones@example.org,317-47-7192,Female 25-34,Caucasian or White,Action Point,Las aventuras de Tadeo Jones, , , 
Zachary Smith,cantrellpatrick@example.org,243-36-9359,Male 35-54,Caucasian or White,Aliens,The Avengers,Captain America: The Winter Soldier,Star Wars: Episode V - The Empire Strikes Back,The Buddy Holly Story
Jacob Long,zreyes@example.net,141-19-3476,Female 25-34,Asian or Pacific Islander,Beauty and the Beast,Spotlight,War Horse,Les MisÃ©rables,Step Brothers
Joseph Johnson,tiffanyortiz@example.org,496-03-2629,Female 18-24,African-American or Black,Selena,Jacksons An American Dream,Purple Rain,The SpongeBob SquarePants Movie,Shark Tale
Mrs. Julie Collins,jessicaperkins@example.com,690-80-9499,Female 35-54,Asian or Pacific Islander,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,Black Pant
Deborah Webb,briankelley@example.net,580-36-4154,Female 35-54,Caucasian or White,rose red,The Godfather,sugar time,54,The Notebook
Angela Swanson,tinamcdonald@example.org,090-73-6715,Female 18-24,Caucasian or White,Shrek,Die Hard,Elf,Aladdin, 
Maria Fox,adamjackson@example.com,495-78-9831,Female 25-34,Asian or Pacific Islander,Good Will Hunting,Man on Fire, , , 
Kristina Vasquez,martinjennifer@example.org,753-21-5284,Female 35-54,Caucasian or White,The Princess Bride,Ghostbusters,Adventures in Babysitting,Gone Girl,Pretty Woman
Jeffrey Carter,stevenmonroe@example.net,502-04-4570,Female 25-34,Caucasian or White,Walk the Line,Forrest Gump,Hocus Pocus,Edward Scissorhands,27 Dresses
Mary Walker,perryryan@example.net,772-77-5037,Female 25-34,Caucasian or White,The Princess Bride, , , , 
Ronald Pollard,hstevens@example.com,755-34-2148,Female 25-34,Caucasian or White,Avengers: Infinity War,Phantom of the Opera,The Lord of the Rings,Jurassic Park,Harry Potter
Mark Townsend,julia79@example.net,433-86-4502,Female 25-34,Caucasian or White,National Lampoon's Christmas Vacation,The Notebook,Mean Girls,She's the Man,The Greatest Showman
Melissa David,piercedonald@example.org,665-73-1000,Female 25-34,African-American or Black,Back to the Future,Back to the Future Part II,101 Dalmatians,Mary Poppins, 
Kristin Hudson,lisa38@example.net,416-78-4452,Male 35-54,Caucasian or White,Clerks,The Sandlot,Fletch,The Grinch,National Lampoon's Christmas Vacation
Daniel Ramirez,james51@example.net,511-55-8269,Male 35-54,Caucasian or White,Harry Potter and the Sorcerer's Stone,The Transformers: The Movie,Spider-Man: Far from Home,Star Trek Generations,none
James Silva,mariewolf@example.com,034-85-3809,Female 35-54,Caucasian or White,Return to me,Hangover,The Wiz,Forgetting Sarah Marshall,Zoolander
Sylvia Dillon,george34@example.com,020-80-4963,Female 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Avatar,Hocus Pocus,Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire
Derrick Harris,xconner@example.com,581-55-9904,Female 14-17,Asian or Pacific Islander,The Family Fang, , , , 
Emily Burke,websterbrenda@example.net,596-17-2406,Male 25-34,Caucasian or White,Avengers: Endgame,Avatar,Avengers: Infinity War,Bad Boys,Bad Boys II
Alyssa Smith,thomasashley@example.net,756-29-7418,Female 35-54,Caucasian or White,The Wizard of Oz,The Shawshank Redemption,Back to the Future,Elizabethtown,Harry Potter and the Deathly Hallows: Part 2
Kristine Terrell,jenniferchan@example.com,806-32-5311,Female 25-34,Caucasian or White,Silver Linings Playbook,A Walk to Remember,Dear John,Twilight,Where the Heart Is
Melissa Mendoza,lisa64@example.org,340-12-4228,Female 25-34,Caucasian or White,Patch Adams,The Legend of Tarzan,How to Train Your Dragon,The Devil Wears Prada,Avengers: Age of Ultron
Luis Peters,thompsonmichael@example.com,793-61-0805,Female 35-54,Other,The Avengers,Titanic,Jurassic Park, , 
Katelyn Medina,hardinkerry@example.org,727-76-5443,Male 14-17,Caucasian or White,2 Fast 2 Furious,Alvin and the Chipmunks,Ghostbusters,The Lion King,Fast and Furious
Tracy King,robbinsjennifer@example.net,887-61-7295,Female 14-17,Caucasian or White,Gone With the Wind,What Ever Happened to Baby Jane?,Wuthering Heights,Jane Eyre,How Green Was My Valley
Alexandra Williams,matthewwhite@example.com,357-93-4986,Female 14-17,Caucasian or White,Star Wars return of the Jedi,Frozen, , , 
Andrew Kelley,peggybrown@example.org,480-58-2033,Male 14-17,Caucasian or White,Forrest Gump,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Alien,it
Linda Schaefer,allenbradford@example.net,746-40-6569,Male 14-17,Caucasian or White,Men in Black,Iron Man,Avengers: Endgame,Black Panther,Avengers: Infinity War
John Leonard,christinesanders@example.net,409-22-4092,Female 14-17,Caucasian or White,Star Wars: Episode II - Attack of the Clones,Star Trek Beyond,Die Hard with a Vengeance,James and the Giant Peach,Jurassic Park
Derek Black,joshuafowler@example.org,656-87-1036,Male 14-17,Caucasian or White,The Dead Pool,The Avengers,Top Gun, , 
Keith Kelly,lawrencegarcia@example.org,418-15-5153,Male 14-17,African-American or Black,Grease,Gone with the Wind,Dumb and Dumber,The Little Mermaid,Con Air
Kristen Lewis,daviskathleen@example.org,624-61-7737,Female 14-17,Caucasian or White,Aladdin,Rampage,PokÃ©mon Detective Pikachu,When We First Met,Avengers: Endgame
Traci Johnson,djames@example.com,497-82-9441,Female 14-17,Caucasian or White,Beauty and the Beast,Cinderella,I Can Only Imagine,Dolphin Tale,Dolphin Tale 2
Jeremiah Diaz,nathan88@example.org,445-05-6405,Male 14-17,Caucasian or White,Are You Kidding,This is Repetitive,Boring,Will this StopSoon,Please End
Anna Hernandez,tracy87@example.org,742-72-1609,Female 14-17,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back, , , , 
Julie Villarreal,ljackson@example.net,275-34-6584,Female 14-17,Caucasian or White,We're the Millers,Grease,Urban Cowboy,Along Came Polly,The Heartbreak Kid
Anna Padilla,nicole39@example.com,528-66-3269,Female 14-17,Other,Non-Stop, , , , 
Jillian Vargas,erinfoster@example.org,815-63-7441,Male 14-17,Caucasian or White,Kingsman: The Secret Service,Avengers: Infinity War,Captain America: Civil War,The Art of Self-Defense,Kick-Ass
Jorge Keith,brittany80@example.org,040-80-6509,Male 14-17,African-American or Black,The Lion King,Black Panther,Avatar,The Avengers,Men in Black
Mark Chan,lorrainemcneil@example.com,680-91-3919,Female 14-17,Caucasian or White,Willy Wonka & the Chocolate Factory,Matilda,Norbit,The Fault in Our Stars, 
Kayla Johnson,romerojonathan@example.net,142-30-1986,Male 18-24,Asian or Pacific Islander,The Dark Knight,21 Jump Street,Edge of Tomorrow,Avengers: Infinity War,Avengers: Endgame
Justin Martinez,qjackson@example.com,616-38-9500,Male 14-17,Caucasian or White,Batman,Toy Story 4, , , 
Laurie Howard,frenchtravis@example.org,899-02-7788,Female 14-17,Caucasian or White,Grease,The Nightmare Before Christmas,Beetlejuice,The Boondock Saints,Legally Blonde
Mark Garcia,utapia@example.com,280-18-6115,Male 14-17,Other,Ghost Rider,Scooby-Doo 2: Monsters Unleashed,Poltergeist II: The Other Side,The Sixth Sense,The Conjuring
Maria Alexander,brendanherrera@example.org,325-87-6309,Female 14-17,Caucasian or White,How to Train Your Dragon 2,Up, , , 
Nicholas Banks,umiller@example.org,436-51-1815,Male 14-17,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Dumb and Dumber,The Hitchhiker's Guide to the Galaxy,Nacho Libre,Napoleon Dynamite
Joseph Smith,cardenaselizabeth@example.com,512-64-1588,Male 35-54,Caucasian or White,Patriots Day,Sully,Whiplash,Us, 
Robert Williams Jr.,aaronyoung@example.org,831-96-1841,Male 18-24,Caucasian or White,Star Wars: Episode III - Revenge of the Sith,Saving Private Ryan,Avengers: Endgame,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode II - Attack of the Clones
Brooke Eaton,sturner@example.org,714-36-4304,Male 14-17,Caucasian or White,Back to the Future, , , , 
Joyce Graham,pharris@example.org,609-33-5823,Female 14-17,Caucasian or White,Maleficent,Mary Poppins,Elf,21 Jump Street,Aladdin
Robert Nelson,kellysteve@example.com,520-45-6240,Male 14-17,Caucasian or White,Horror of Dracula,The Exorcism of Emily Rose,The Hot Chick,Bill & Ted's Excellent Adventure,Dark Command
Ryan Smith,tbryant@example.org,125-18-4684,Male 14-17,Caucasian or White,Juarasic park, , , , 
Katherine Logan,nrodriguez@example.net,527-18-3391,Male 14-17,Caucasian or White,School of Rock,Fast and Furious,Hank Williams: The Show He Never Gave,October Sky,Cars
Christian Munoz,deniseallison@example.org,624-15-2640,Female 14-17,Caucasian or White,Zombieland,Mean Girls, , , 
Teresa Mcmahon,deborah14@example.com,064-16-5963,Female 14-17,Caucasian or White,A Few Good Men,Top Gun,The Secret Life of Pets,Steel Magnolias,I Spit on Your Grave
Kim West MD,sarahali@example.net,880-20-3889,Male 18-24,Caucasian or White,Anchorman,Dumb and Dumber,Fast and Furious,Avengers: Endgame,Avengers: Infinity War
Charles Morris,katherine09@example.net,333-76-1272,Male 18-24,Caucasian or White,Zootopia,xXx,Atlantis: The Lost Empire,Treasure Planet,Finding Nemo
Stacey Byrd,cynthia44@example.net,634-23-1404,Male 18-24,Asian or Pacific Islander,PokÃ©mon: The First Movie - Mewtwo Strikes Back,Frozen,Your Name., , 
Heather Allen,patrickmendoza@example.com,444-39-9713,Male 14-17,American Indian or Alaska Native,The Twilight Saga: Eclipse,The Twilight Saga: Breaking Dawn - Part 2,Interview with the Vampire: The Vampire Chronicles,Venom,PET SEMETARY
John Morales,aduffy@example.org,168-70-5343,Male 14-17,Caucasian or White,It,Toy Story 4,Zombieland, , 
Hunter Brown,scottcook@example.com,648-90-5173,Male 14-17,Caucasian or White,Endless Summer, , , , 
Jasmine Lane,robynclark@example.org,706-99-0303,Male 14-17,Caucasian or White,The Last Samurai,12 Strong,Gladiator,300,Captain America
Emma White,lawrenceporter@example.com,599-51-1487,Male 14-17,Caucasian or White,horror,thriller,action,family, 
